I сессия;Mg;Al;Si;S;K;Ca;Fe
5-I;3.223;5.71;19.51;0.3825;0.686;66.1;4.623
6;2.348;5.49;20.07;2.8447;0.987;63.89;4.294
13-I;3.185;4.61;21.39;0.3915;0.597;67.09;3.203
5-I;3.406;5.87;19.51;0.3824;0.686;66.19;4.604
6;2.16;5.37;20.14;2.9136;0.987;63.91;4.346
13-I;3.128;4.55;21.4;0.4154;0.611;67.09;3.202
5-I;3.248;5.71;19.48;0.3939;0.696;66.12;4.602
6;2.324;5.42;20.24;2.8462;0.965;63.84;4.333
13-I;3.162;4.52;21.21;0.3919;0.59;66.98;3.202
5-I;3.312;5.74;19.46;0.387;0.676;65.99;4.64
6;2.32;5.38;20.25;2.8418;0.965;63.77;4.352
13-I;3.278;4.47;21.32;0.4035;0.578;66.95;3.206
5-I;3.157;5.69;19.52;0.3885;0.673;66.08;4.603
6;2.34;5.41;20.22;2.8855;0.966;63.83;4.306
13-I;3.375;4.57;21.34;0.3845;0.59;67.16;3.239
