II сессия;Mg;Al;Si;S;K;Ca;Fe
5-I;3.416;5.64;19.5;0.3665;0.671;66.2;4.613
6;2.341;5.3;20.23;2.8509;1;64.04;4.329
13-I;3.166;4.62;21.34;0.3979;0.6;67.1;3.216
5-I;3.358;5.69;19.51;0.3549;0.657;66.28;4.608
6;2.338;5.3;20.22;2.8795;0.983;64.11;4.343
13-I;3.101;4.57;21.31;0.3931;0.597;67.22;3.215
5-I;3.338;5.76;19.41;0.3494;0.667;66.41;4.596
6;2.388;5.38;20.21;2.878;0.973;64;4.33
13-I;3.232;4.46;21.22;0.4019;0.589;67.19;3.219
5-I;3.389;5.72;19.39;0.374;0.678;66.23;4.614
6;2.256;5.45;20.16;2.9041;0.977;63.94;4.31
13-I;3.039;4.52;21.32;0.384;0.579;67.06;3.198
5-I;3.443;5.65;19.45;0.349;0.685;66.2;4.613
6;2.277;5.35;20.27;2.9021;0.974;64.14;4.327
13-I;3.098;4.57;21.33;0.3946;0.598;67.24;3.21
