III сессия;Mg;Al;Si;S;K;Ca;Fe
5-I;3.306;5.71;19.58;0.3835;0.708;66.1;4.575
6;2.409;5.42;20.18;2.881;0.961;63.91;4.323
13-I;3.093;4.6;21.22;0.3976;0.595;67.22;3.218
5-I;3.382;5.59;19.62;0.3807;0.675;66.16;4.609
6;2.276;5.39;20.12;2.8669;0.992;64.09;4.325
13-I;3.075;4.61;21.26;0.3987;0.584;67.16;3.224
5-I;3.376;5.68;19.6;0.3855;0.706;66.04;4.598
6;2.452;5.33;20.08;2.8803;0.973;63.99;4.288
13-I;2.95;4.52;21.19;0.3933;0.586;67.21;3.203
5-I;3.285;5.61;19.47;0.3778;0.698;65.98;4.591
6;2.275;5.39;20.12;2.9026;0.98;63.86;4.331
13-I;3.199;4.65;21.26;0.3807;0.588;66.98;3.209
5-I;3.244;5.7;19.4;0.3777;0.683;66.03;4.595
6;2.459;5.37;20.17;2.879;0.995;64.08;4.321
13-I;3;4.52;21.31;0.4222;0.581;67.1;3.222
