IV сессия;Mg;Al;Si;S;K;Ca;Fe
5-I;3.212;5.63;19.24;0.3659;0.673;65.78;4.618
6;2.223;5.35;20.16;2.8913;0.962;63.55;4.305
13-I;3.115;4.61;21.18;0.3794;0.597;66.58;3.217
5-I;3.383;5.85;19.46;0.3559;0.69;65.94;4.636
6;2.3;5.4;20.05;2.8549;0.962;63.69;4.338
13-I;3.024;4.61;21.19;0.3942;0.607;66.77;3.2
5-I;3.463;5.68;19.39;0.3467;0.672;65.97;4.615
6;2.528;5.39;20.19;2.8701;0.972;63.78;4.344
13-I;3.071;4.58;21.2;0.3884;0.601;66.8;3.213
5-I;3.332;5.68;19.37;0.3641;0.691;65.9;4.615
6;2.262;5.3;20.15;2.847;0.977;63.52;4.325
13-I;3.087;4.58;21.15;0.3925;0.601;66.83;3.237
5-I;3.336;5.69;19.44;0.3565;0.675;66.07;4.614
6;2.19;5.41;20.15;2.8619;0.967;63.74;4.346
13-I;3.118;4.5;21.23;0.4022;0.602;66.71;3.213
