V сессия;Mg;Al;Si;S;K;Ca;Fe
5-I;3.345;5.77;19.42;0.3661;0.692;65.9;4.613
6;2.19;5.38;20.12;2.8623;0.981;63.62;4.335
13-I;3.136;4.57;21.17;0.3982;0.592;66.74;3.217
5-I;3.285;5.68;19.5;0.388;0.689;65.9;4.614
6;2.271;5.28;20.14;2.8361;0.961;63.69;4.365
13-I;3.19;4.54;21.25;0.3923;0.575;66.69;3.193
5-I;3.443;5.66;19.5;0.3771;0.675;65.86;4.561
6;2.244;5.48;20.07;2.853;0.974;63.62;4.343
13-I;3.175;4.55;21.29;0.399;0.608;66.91;3.225
5-I;3.347;5.64;19.45;0.3865;0.68;65.65;4.589
6;2.233;5.29;20.14;2.8584;0.962;63.58;4.308
13-I;3.037;4.56;21.27;0.3927;0.603;66.7;3.234
5-I;3.204;5.73;19.51;0.383;0.678;65.73;4.592
6;2.189;5.36;20.09;2.8643;0.986;63.62;4.32
13-I;3.108;4.57;21.18;0.4;0.588;66.8;3.211
